"","AGE","P1","P2","P3","P4","P5","P6","P7","P8","TotalSpending"
"2",14,2,1,0,0,0,0,0,0,48
"3",16,2,1,0,0,0,0,0,0,610.68
"4",17,2,1,0,0,0,0,0,1,1208.04
"5",18,398,285,24,16,4,37,20,39,248662.264483828
"6",19,1536,1106,96,57,25,105,66,142,1606609.05791198
"7",20,1529,1088,86,65,25,109,68,143,2149249.47251689
"8",21,1715,1223,91,72,27,142,88,191,3501768.53741204
"9",22,1928,1308,100,97,31,115,65,180,3258499.49701655
"10",23,1944,1359,118,83,37,132,80,225,3887315.21171899
"11",24,2145,1489,127,88,51,143,89,215,3700041.90637585
"12",25,2011,1337,99,83,38,140,102,233,4143421.95669515
"13",26,1984,1317,102,80,41,143,77,254,4846652.6425309
"14",27,1918,1215,117,85,41,120,91,235,5355698.36668653
"15",28,1798,1139,87,62,50,125,96,226,5356831.24207958
"16",29,1648,1032,90,75,44,124,91,224,5412767.456802
"17",30,1595,978,71,73,43,95,77,213,4296718.03037103
"18",31,1447,896,65,67,31,92,77,197,7137007.80819153
"19",32,1225,745,49,49,37,81,62,168,4366204.70679502
"20",33,1275,758,50,54,32,67,68,177,5549790.07209073
"21",34,1206,680,40,37,20,59,53,108,4396137.1714648
"22",35,1062,578,32,41,24,63,50,106,4614188.76978956
"23",36,1040,588,36,48,23,54,53,109,3511077.5953094
"24",37,962,550,36,37,20,37,36,102,3200060.42882734
"25",38,900,498,27,38,17,43,30,87,2965240.76273953
"26",39,825,467,28,21,13,35,41,80,2964683.84260641
"27",40,796,448,24,33,22,26,29,70,4448846.61836936
"28",41,713,370,16,15,14,32,20,65,2234060.00384845
"29",42,594,314,13,18,12,26,17,56,3081516.67067952
"30",43,563,324,10,15,4,15,23,40,2207083.84791487
"31",44,524,280,13,11,6,18,14,40,2522527.80660335
"32",45,511,289,10,14,5,24,17,31,1474467.98930313
"33",46,420,220,9,11,7,12,13,35,892901.895063236
"34",47,409,233,13,14,6,24,21,34,1968866.60875724
"35",48,330,196,5,10,4,12,8,19,932269.273525013
"36",49,316,185,9,11,7,7,6,25,916618.186553174
"37",50,308,179,4,13,8,13,14,16,506015.568370124
"38",51,251,137,6,9,5,17,10,24,867265.20772512
"39",52,268,137,9,13,5,7,10,15,1131892.71426995
"40",53,223,130,10,5,5,10,5,13,615566.443946611
"41",54,185,97,4,10,8,7,7,18,615139.44682168
"42",55,194,109,4,4,5,4,2,8,573150.335475873
"43",56,173,80,1,5,3,4,3,16,335110.8772
"44",57,129,63,3,4,1,3,4,10,996272.045577583
"45",58,88,48,2,3,0,2,3,5,158062.315
"46",59,79,46,3,1,2,2,3,7,113680.992510566
"47",60,65,38,3,3,2,4,2,4,127407.119935605
"48",61,79,37,2,3,2,3,3,8,752773.9465
"49",62,59,27,1,1,0,0,0,2,137511.2311
"50",63,49,25,0,0,1,0,0,3,61762.1234
"51",64,42,20,0,0,0,1,1,1,74119.4605
"52",65,48,22,0,1,1,0,0,3,83143.5131
"53",66,34,13,2,1,1,1,1,3,42029.7750058836
"54",67,31,18,2,2,0,2,1,1,61073.2856886052
"55",68,30,12,0,0,0,0,0,0,49485.8832
"56",69,6,5,0,0,0,1,1,1,9869.9132
"57",70,14,4,0,1,0,1,0,2,21555.28
"58",71,18,8,1,2,1,3,2,1,28964.7015
"59",72,16,7,0,0,0,0,0,1,6823.712
"60",73,6,3,0,0,0,0,0,0,3479.8186
"61",74,9,6,0,0,0,0,0,0,12549.9907
"62",75,4,3,0,0,0,0,0,0,3551.9601
"63",76,7,5,0,0,1,0,0,0,5889.6751
"64",77,3,1,0,0,0,0,0,0,1579.73
"65",78,6,5,0,0,0,0,0,0,13408.2
"66",79,1,0,0,0,0,0,0,0,30
"67",80,4,2,1,0,0,0,0,2,178252.7821
"68",81,3,1,0,0,0,0,0,0,170.31
"69",82,4,2,0,0,0,0,0,0,757.95
"70",83,2,4,0,1,0,0,0,0,2100.4
"71",84,1,0,0,0,0,0,0,0,30
"72",85,2,3,0,0,0,0,0,0,313
"73",86,2,2,0,0,0,0,0,0,885.13
"74",88,1,0,0,0,0,0,0,0,50
"75",90,1,1,0,0,0,0,0,0,105
"76",91,0,1,0,0,0,0,0,0,31.05
"77",94,1,0,0,0,0,0,0,0,136.42
"78",95,1,0,0,0,0,0,0,0,53.95
"79",105,3,0,0,0,0,0,0,0,311.5602
